instruction,opcode,funct3,funct7,imm_type,alu_src_a,alu_src_b,alu_op,reg_write,wb_sel,mem_write,load_size,load_unsigned,branch,jump,jalr,pc_sel,halt
add,0110011,000,0000000,NONE,RS1,RS2,ADD,1,ALU,0,NONE,0,0,0,0,PC4,0
sub,0110011,000,0100000,NONE,RS1,RS2,SUB,1,ALU,0,NONE,0,0,0,0,PC4,0
and,0110011,111,0000000,NONE,RS1,RS2,AND,1,ALU,0,NONE,0,0,0,0,PC4,0
or,0110011,110,0000000,NONE,RS1,RS2,OR,1,ALU,0,NONE,0,0,0,0,PC4,0
xor,0110011,100,0000000,NONE,RS1,RS2,XOR,1,ALU,0,NONE,0,0,0,0,PC4,0
sll,0110011,001,0000000,NONE,RS1,RS2,SLL,1,ALU,0,NONE,0,0,0,0,PC4,0
srl,0110011,101,0000000,NONE,RS1,RS2,SRL,1,ALU,0,NONE,0,0,0,0,PC4,0
sra,0110011,101,0100000,NONE,RS1,RS2,SRA,1,ALU,0,NONE,0,0,0,0,PC4,0
slt,0110011,010,0000000,NONE,RS1,RS2,SLT,1,ALU,0,NONE,0,0,0,0,PC4,0
sltu,0110011,011,0000000,NONE,RS1,RS2,SLTU,1,ALU,0,NONE,0,0,0,0,PC4,0
addi,0010011,000,xxxxxxx,I,RS1,IMM,ADD,1,ALU,0,NONE,0,0,0,0,PC4,0
andi,0010011,111,xxxxxxx,I,RS1,IMM,AND,1,ALU,0,NONE,0,0,0,0,PC4,0
ori,0010011,110,xxxxxxx,I,RS1,IMM,OR,1,ALU,0,NONE,0,0,0,0,PC4,0
xori,0010011,100,xxxxxxx,I,RS1,IMM,XOR,1,ALU,0,NONE,0,0,0,0,PC4,0
slli,0010011,001,0000000,I,RS1,SHAMT,SLL,1,ALU,0,NONE,0,0,0,0,PC4,0
srli,0010011,101,0000000,I,RS1,SHAMT,SRL,1,ALU,0,NONE,0,0,0,0,PC4,0
srai,0010011,101,0100000,I,RS1,SHAMT,SRA,1,ALU,0,NONE,0,0,0,0,PC4,0
slti,0010011,010,xxxxxxx,I,RS1,IMM,SLT,1,ALU,0,NONE,0,0,0,0,PC4,0
sltiu,0010011,011,xxxxxxx,I,RS1,IMM,SLTU,1,ALU,0,NONE,0,0,0,0,PC4,0
lui,0110111,xxx,xxxxxxx,U,ZERO,IMM,LUI,1,ALU,0,NONE,0,0,0,0,PC4,0
auipc,0010111,xxx,xxxxxxx,U,PC,IMM,ADD,1,ALU,0,NONE,0,0,0,0,PC4,0
lw,0000011,010,xxxxxxx,I,RS1,IMM,ADD,1,MEM,0,WORD,0,0,0,0,PC4,0
lb,0000011,000,xxxxxxx,I,RS1,IMM,ADD,1,MEM,0,BYTE,0,0,0,0,PC4,0
lbu,0000011,100,xxxxxxx,I,RS1,IMM,ADD,1,MEM,0,BYTE,1,0,0,0,PC4,0
lh,0000011,001,xxxxxxx,I,RS1,IMM,ADD,1,MEM,0,HALF,0,0,0,0,PC4,0
lhu,0000011,101,xxxxxxx,I,RS1,IMM,ADD,1,MEM,0,HALF,1,0,0,0,PC4,0
sw,0100011,010,xxxxxxx,S,RS1,IMM,ADD,0,NONE,1,WORD,0,0,0,0,PC4,0
beq,1100011,000,xxxxxxx,B,RS1,RS2,SUB,0,NONE,0,NONE,0,EQ,0,0,BRANCH_OR_PC4,0
bne,1100011,001,xxxxxxx,B,RS1,RS2,SUB,0,NONE,0,NONE,0,NE,0,0,BRANCH_OR_PC4,0
blt,1100011,100,xxxxxxx,B,RS1,RS2,SLT,0,NONE,0,NONE,0,LT,0,0,BRANCH_OR_PC4,0
bge,1100011,101,xxxxxxx,B,RS1,RS2,SLT,0,NONE,0,NONE,0,GE,0,0,BRANCH_OR_PC4,0
bltu,1100011,110,xxxxxxx,B,RS1,RS2,SLTU,0,NONE,0,NONE,0,LTU,0,0,BRANCH_OR_PC4,0
bgeu,1100011,111,xxxxxxx,B,RS1,RS2,SLTU,0,NONE,0,NONE,0,GEU,0,0,BRANCH_OR_PC4,0
jal,1101111,xxx,xxxxxxx,J,PC,4,ADD,1,PC4,0,NONE,0,0,1,0,JUMP,0
jalr,1100111,000,xxxxxxx,I,RS1,IMM,ADD,1,PC4,0,NONE,0,0,1,1,JALR,0
wfi,1110011,000,0001000,I,ZERO,ZERO,PASS,0,NONE,0,NONE,0,0,0,0,HOLD,1
